-1.749,-6.332,1
1.3114,4.5462,0
2.4391,6.4417,0
-1.682,-6.8121,1
4.0972,0.46972,0
1.8373,6.1292,0
0.87603,6.8141,0
-2.2501,3.3129,1
4.1197,-2.7956,0
3.2704,6.9321,0
6.0919,2.9673,0
3.4667,-4.0724,0
4.1962,0.74493,0
0.24835,7.6439,0
-4.4996,3.4288,1
5.3915,9.9946,0
-1.5851,-2.1562,1
1.6799,4.2068,1
-0.36506,2.8928,1
3.9719,1.0367,0
-2.8391,-6.63,1
0.38251,6.8121,0
3.5438,1.2395,0
-1.1193,10.7271,0
3.9232,-3.2467,0
-4.1244,3.7909,1
5.2012,0.32694,0
6.5633,9.8187,0
-2.3142,-0.68494,1
2.0922,-6.81,0
-2.2183,-1.254,1
2.8672,10.0008,0
-1.2786,-2.4087,1
3.9102,6.065,0
-3.0193,1.7775,1
-2.6406,-4.4159,1
0.74067,1.7299,1
-0.71868,-5.7154,1
2.4226,-4.5752,0
-2.3898,-0.78427,1
2.6881,6.0195,0
-1.6662,-0.30005,1
3.2718,1.7837,0
4.1665,-0.4449,0
4.5679,3.1929,0
-2.2617,-4.7428,1
-2.2153,11.9625,0
1.934,-9.2828000000E-06,0
2.9736,8.7944,0
-0.10648,-0.76771,0
1.9647,6.9383,0
-5.1661,8.0433,1
0.7376,4.8525,1
0.77445,9.0552,0
-4.0214,-12.8006,1
-7.0421,9.2,1
0.68087,2.3259,0
-2.4473,12.6247,0
5.7353,5.2808,0
5.1776,8.2316,0
-4.244,-13.0634,1
-2.484,12.1611,0
-4.2859,8.5234,0
-1.3414,-1.9162,1
-3.8952,3.8157,1
2.031,1.852,1
4.4295,-2.3507,0
2.8969,0.70768,0
4.1605,11.2196,0
4.5645,-3.6275,0
3.7798,-3.3109,0
-0.95923,-6.7128,1
-0.55008,2.8659,1
-2.5463,3.1101,1
4.2164,9.4607,0
-2.7419,11.4038,0
0.31803,-0.99326,1
2.7831,10.9796,0
2.3952,9.5083,0
3.6702,2.9942,0
4.9852,8.3516,0
2.6682,10.216,0
5.086,3.2798,0
0.21084,9.4359,0
2.1319,-2.0403,0
3.4647,-3.9172,0
-1.7549,-0.080711,1
1.9572,-5.1153,0
-0.82053,0.65181,1
-1.3,10.2678,0
4.0948,-2.9674,0
-0.37013,-5.554,1
-2.7264,3.9213,1
4.3435,3.3295,0
0.90407,3.3708,1
2.0177,1.7982,1
0.049175,6.1437,0
1.9476,-4.7738,0
-0.94255,0.039307,1
3.7767,9.7794,0
1.4378,0.66837,1
